banchostats_id,users_irc,users_osu,multiplayer_games,date
273,137,12175,411,2016-06-08 05:16:40
274,137,12190,412,2016-06-08 05:15:32
275,138,12208,416,2016-06-08 05:14:21
276,137,12236,424,2016-06-08 05:13:10
277,137,12267,429,2016-06-08 05:12:00
278,137,12343,423,2016-06-08 05:10:49
279,136,12458,424,2016-06-08 05:09:39
280,136,12449,431,2016-06-08 05:08:28
281,136,12506,431,2016-06-08 05:07:19
282,136,12566,441,2016-06-08 05:06:07
283,136,12621,446,2016-06-08 05:04:56
284,137,12653,448,2016-06-08 05:03:44
285,138,12718,447,2016-06-08 05:02:34
286,139,12720,462,2016-06-08 05:01:24
287,138,12788,460,2016-06-08 05:00:13
288,137,12880,474,2016-06-08 04:59:01
289,137,12905,473,2016-06-08 04:57:50
290,137,12898,465,2016-06-08 04:56:39
291,135,12953,463,2016-06-08 04:55:28
292,133,12980,467,2016-06-08 04:54:16
293,135,12987,470,2016-06-08 04:53:04
294,136,13012,463,2016-06-08 04:51:52
295,136,13074,474,2016-06-08 04:50:38
296,136,13117,476,2016-06-08 04:49:27
297,136,13154,472,2016-06-08 04:48:16
298,138,13203,471,2016-06-08 04:47:02
299,137,13247,478,2016-06-08 04:45:49
300,138,13285,479,2016-06-08 04:44:38
301,138,13357,492,2016-06-08 04:43:25
302,139,13359,498,2016-06-08 04:42:11
303,139,13408,496,2016-06-08 04:40:55
304,141,13443,507,2016-06-08 04:39:42
305,140,13489,517,2016-06-08 04:38:29
306,141,13590,521,2016-06-08 04:37:14
307,140,13615,530,2016-06-08 04:36:00
308,140,13643,538,2016-06-08 04:34:47
309,140,13663,536,2016-06-08 04:33:35
310,140,13733,544,2016-06-08 04:32:24
311,140,13789,540,2016-06-08 04:31:10
312,140,13826,542,2016-06-08 04:29:57
313,139,13858,542,2016-06-08 04:28:44
314,141,13896,544,2016-06-08 04:27:28
315,140,13865,552,2016-06-08 04:26:12
316,141,13897,553,2016-06-08 04:24:58
317,141,13957,553,2016-06-08 04:23:43
318,141,14014,554,2016-06-08 04:22:28
319,142,14069,551,2016-06-08 04:21:12
320,142,14087,555,2016-06-08 04:19:56
321,142,14099,557,2016-06-08 04:18:42
322,141,14125,560,2016-06-08 04:17:28
323,143,14170,558,2016-06-08 04:16:14
